Symbol,PeriodType,MarketCap,FowardPeRatio,PeRatio,PegRatio,PsRatio,PbRatio,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio
LU,2023-09-30 00:00:00,2520585260.0,3.1536,8.27809,nan,0.483313,0.190134,nan,nan,1.8035
LU,2023-06-30 00:00:00,nan,4.7985,5.811168,nan,nan,nan,nan,nan,nan
LTM,TTM,9824533261.0,nan,10.825052,nan,0.750579,13.525886,15001008261.0,8.3217,1.1509
LTM,2024-09-30 00:00:00,7762664567.0,nan,11.105971,nan,0.639223,14.807769,13085455567.0,8.7652,1.048
LTM,2024-06-30 00:00:00,8149031468.0,nan,378.703704,nan,22.407252,454.198898,13363870468.0,9.1277,1.1012
LTM,2024-03-31 00:00:00,7527790213.0,nan,582.035306,nan,29.104285,752.356042,12710205213.0,9.9347,1.0919
LTM,2023-12-31 00:00:00,6522791357.0,nan,4.7298,nan,28.794665,815.259958,11423931357.0,2.9619,1.0254
LTM,2023-09-30 00:00:00,5358946223.0,nan,5.559216,nan,19.999401,1256.356734,10144158223.0,3.0603,0.9504
LTH,TTM,6103341899.0,23.9808,39.351351,nan,2.346092,2.338132,10079759899.0,15.9449,3.8458
LTH,2024-12-31 00:00:00,4578234553.0,23.4192,32.529412,nan,1.818793,1.791627,8578205553.0,14.331,3.4087
LTH,2024-09-30 00:00:00,5015614691.0,29.4118,46.075472,nan,2.073398,2.131149,9260695691.0,16.9673,3.845
LTH,2024-06-30 00:00:00,3744063972.0,31.9489,53.8,nan,1.668194,1.627607,8051414972.0,16.7047,3.4969
LTH,2024-03-31 00:00:00,3052868475.0,26.1097,41.945946,nan,1.428389,1.368715,7283404475.0,15.5096,3.2859
LTH,2023-12-31 00:00:00,2961846227.0,28.7356,45.69697,nan,1.426393,1.33782,7120749227.0,15.85,3.3424
LTC,TTM,1640312623.0,nan,17.691176,nan,7.608675,1.707544,2315498623.0,13.495,11.0342
LTC,2024-12-31 00:00:00,1563759050.0,nan,14.828326,nan,7.219178,1.64985,2314042050.0,12.5183,11.1542
LTC,2024-09-30 00:00:00,1652311548.0,nan,16.60181,nan,7.743821,1.858328,2507142548.0,13.9507,12.4746
LTC,2024-06-30 00:00:00,1499900920.0,nan,17.96875,nan,7.245979,1.693034,2351101920.0,14.0498,11.8081
LTC,2024-03-31 00:00:00,1401593649.0,nan,15.050926,nan,6.816677,1.596237,2272624649.0,12.9206,11.5219
LTC,2023-12-31 00:00:00,1330143579.0,nan,16.816754,nan,6.757564,1.674144,2275064579.0,14.0615,11.6737
LTC,2023-06-30 00:00:00,nan,19.2308,nan,nan,nan,nan,nan,nan,nan
LSTR,TTM,5718378540.0,26.9542,29.38657,5.3821,1.194028,5.88045,5315081540.0,18.2752,1.1029
LSTR,2024-12-31 00:00:00,6069420305.0,24.7525,29.478559,3.5889,1.272879,5.974321,5661391305.0,18.3155,1.1759
LSTR,2024-09-30 00:00:00,6672998644.0,25.3807,30.861111,3.3826,1.382389,6.667585,6300712644.0,19.3141,1.2885
LSTR,2024-06-30 00:00:00,6597380770.0,29.2398,28.337942,3.3861,1.313004,6.425042,6183828770.0,17.783,1.2273
LSTR,2024-03-31 00:00:00,6893490444.0,28.3286,26.190217,nan,1.305585,7.006128,6485467444.0,16.5378,1.2229
LSTR,2023-12-31 00:00:00,6961009515.0,23.753,23.191617,nan,1.205653,6.630405,6587699515.0,14.6919,1.141
LSTR,2023-06-30 00:00:00,nan,nan,nan,3.5517,nan,nan,nan,nan,nan
LSPD,TTM,1754092537.0,20.79,nan,nan,1.671581,0.752779,1111684537.0,nan,1.0551
LSPD,2024-12-31 00:00:00,2336334837.0,29.2398,nan,nan,2.31995,0.99393,1699276837.0,nan,1.6772
LSPD,2024-09-30 00:00:00,2507361792.0,37.4532,nan,nan,2.633564,1.06604,1856686792.0,nan,1.9215
LSPD,2024-06-30 00:00:00,2096060785.0,37.037,nan,nan,2.315097,0.859663,1397169785.0,nan,1.5366
LSPD,2024-03-31 00:00:00,2152730015.0,52.356,nan,nan,2.491712,0.886159,1426779015.0,nan,1.6527
LSPD,2023-12-31 00:00:00,3207888468.0,47.619,nan,nan,3.933972,1.313783,2470050468.0,-188.942895,3.0409
LSPD,2023-09-30 00:00:00,nan,nan,nan,nan,nan,nan,nan,-101.828419,nan
LSPD,2023-06-30 00:00:00,nan,nan,nan,nan,nan,nan,nan,-92.92416,nan
LSCC,TTM,8790835986.0,60.6061,144.954545,nan,17.318728,12.365228,8669795986.0,81.0686,17.0196
